uid,platform,component,componentgroup,createdBy.user.user_id,modifiedBy.user.user_id,updated, applications[0].id
config:component:aggregator:value_add.evadmin_core,  elektron, evadmin_core,  Value Add,138890,138890, 2016-01-29T10:50:38.892Z,202032
config:component:aggregator:value_add.contrb_core,  elektron, contrb_core,  Value Add,138890,138890, 2016-01-25T14:51:07.159Z,202032
config:component:aggregator:value_add.vah_config,  elektron, vah_config,  Value Add,138890,138890, 2016-01-25T14:50:28.248Z,202032
config:component:aggregator:value_add.speed_config,  elektron, speed_config,  Value Add,127438,127438, 2016-06-16T13:26:40.305Z,202032
config:component:aggregator:venues_td_apac.sgd,  elektron, sgd,  Venues_TD_APAC,127438,127438, 2016-06-22T09:36:19.224Z,200048
config:component:aggregator:venues_td_emea.csa,  elektron, csa,  Venues_TD_EMEA,138890,138890, 2016-08-25T08:30:44.107Z,200048
config:component:aggregator:venues_td_emea.safex,  elektron, safex,  Venues_TD_EMEA,138890,138890, 2016-11-03T09:05:15.386Z,200048
config:component:aggregator:eikon_web_hosted.eikon_investor_._screener_app,  eikon, Eikon_Investor | Screener App,  Eikon_Web_Hosted, , , 2014-12-04T15:13:05.834Z,202041
config:component:aggregator:eikon_edge_infrastructure.rp_add_ons,  eikon, RP_Add_ons,  Eikon_EDGE_Infrastructure,138890,138890, 2015-11-27T13:39:14.125Z,202047
config:component:aggregator:eikon_edge_infrastructure.wsgapi,  eikon, WSGAPI,  Eikon_EDGE_Infrastructure, , , 2014-12-04T15:12:21.051Z,202049
config:component:aggregator:eikon_aaa.adminapi,  eikon, AdminApi,  Eikon_AAA,138890,138890, 2016-03-03T14:19:45.992Z,201867
config:component:aggregator:eikon_aaa.database,  eikon, Database,  Eikon_AAA, , , 2014-12-04T15:11:52.405Z,201867
config:component:aggregator:eikon_aaa.dmdocuments,  eikon, DMDocuments,  Eikon_AAA,138890,138890, 2016-02-05T09:10:38.400Z,201867
config:component:aggregator:eikon_aaa.entitlementapi,  eikon, EntitlementApi,  Eikon_AAA,138890,138890, 2015-11-19T16:57:06.780Z,201867
config:component:aggregator:eikon_aaa.grouplive,  eikon, GroupLive,  Eikon_AAA,138890,138890, 2016-02-05T09:09:37.625Z,201867
config:component:aggregator:eikon_aaa.online_storage,  eikon, Online Storage,  Eikon_AAA, , , 2014-12-04T15:11:57.070Z,201867
config:component:aggregator:eikon_aaa.refdataesb,  eikon, RefDataESB,  Eikon_AAA,138890,138890, 2016-01-19T14:09:43.221Z,201867
config:component:aggregator:eikon_aaa.refdataws,  eikon, RefDataWS,  Eikon_AAA,138890,138890, 2016-02-09T10:01:36.681Z,201867
config:component:aggregator:eikon_aaa.userattributesservice,  eikon, UserAttributesService,  Eikon_AAA,138890,138890, 2016-02-05T09:11:19.424Z,201867
config:component:aggregator:time_series.file_distributor_-_cbus,  eikon, File Distributor - CBUS,  Time_Series, , , 2014-12-04T15:13:34.836Z,202084
config:component:aggregator:time_series.intradayws,  eikon, IntradayWS,  Time_Series, , , 2014-12-04T15:13:37.543Z,202084
config:component:aggregator:time_series.bulk_data_extractor,  eikon, Bulk Data Extractor,  Time_Series, , , 2014-12-04T15:13:30.859Z,202085
config:component:aggregator:eikon_point_carbon.common.dwh,  eikon, Common.dwh,  Eikon_Point_Carbon, , , 2014-12-04T15:12:33.301Z,200073
config:component:aggregator:eikon_point_carbon.dataviewagent,  eikon, Dataviewagent,  Eikon_Point_Carbon, , , 2014-12-04T15:12:34.585Z,200073
config:component:aggregator:eikon_point_carbon.emerald,  eikon, Emerald,  Eikon_Point_Carbon,138890,138890, 2015-10-07T14:19:04.398Z,200073
config:component:aggregator:eikon_point_carbon.emissiondataviewer-web,  eikon, Emissiondataviewer-web,  Eikon_Point_Carbon, , , 2014-12-04T15:12:36.616Z,200073
config:component:aggregator:eikon_point_carbon.energy-screener,  eikon, Energy-screener,  Eikon_Point_Carbon, , , 2014-12-04T15:12:37.055Z,200073
config:component:aggregator:eikon_point_carbon.esb-app-lastupdate,  eikon, ESB-App-Lastupdate,  Eikon_Point_Carbon, , , 2014-12-04T15:12:39.147Z,200073
config:component:aggregator:eikon_point_carbon.esb-app-mailalert-default,  eikon, ESB-App-Mailalert-Default,  Eikon_Point_Carbon,138890,138890, 2015-10-26T11:52:33.445Z,200073
config:component:aggregator:eikon_point_carbon.esb-app-parserframework,  eikon, ESB-App-Parserframework,  Eikon_Point_Carbon,138890,138890, 2015-10-07T14:12:48.533Z,200073
config:component:aggregator:eikon_point_carbon.esb-app-umm2newsml,  eikon, ESB-App-Umm2newsml,  Eikon_Point_Carbon, , , 2014-12-04T15:11:30.773Z,200073
config:component:aggregator:eikon_point_carbon.esb-app-virus-scan,  eikon, ESB-App-Virus-Scan,  Eikon_Point_Carbon,138890,138890, 2015-10-07T14:15:48.141Z,200073
config:component:aggregator:eikon_point_carbon.filemonitor,  eikon, Filemonitor,  Eikon_Point_Carbon,138890,138890, 2015-09-02T14:22:14.601Z,200073
config:component:aggregator:eikon_point_carbon.iiroutageloader,  eikon, IIROutageLoader,  Eikon_Point_Carbon,138890,138890, 2015-09-02T13:51:28.351Z,200073
config:component:aggregator:eikon_point_carbon.messagereceiver,  eikon, MessageReceiver,  Eikon_Point_Carbon, , , 2014-12-04T15:12:46.785Z,200073
config:component:aggregator:eikon_point_carbon.mpdloader,  eikon, MPDLoader,  Eikon_Point_Carbon,138890,138890, 2015-09-02T13:57:06.964Z,200073
config:component:aggregator:eikon_point_carbon.newsml-generator,  eikon, Newsml-generator,  Eikon_Point_Carbon, , , 2014-12-04T15:12:48.083Z,200073
config:component:aggregator:eikon_point_carbon.platts,  eikon, Platts,  Eikon_Point_Carbon,138890,138890, 2015-09-02T14:16:30.324Z,200073
config:component:aggregator:eikon_point_carbon.pointconnect-rest-api,  eikon, PointConnect-Rest-API,  Eikon_Point_Carbon, , , 2014-12-04T15:12:49.269Z,200073
config:component:aggregator:eikon_point_carbon.spatialsdi,  eikon, SpatialSDI,  Eikon_Point_Carbon,138890,138890, 2015-09-02T14:17:24.872Z,200073
config:component:aggregator:eikon_point_carbon.trailblazer,  eikon, Trailblazer,  Eikon_Point_Carbon, , , 2014-12-04T15:12:52.678Z,200073
config:component:aggregator:eikon_point_carbon.valuation-tool,  eikon, Valuation-tool,  Eikon_Point_Carbon, , , 2014-12-04T15:12:53.536Z,200073
config:component:aggregator:eikon_point_carbon.vtvessel,  eikon, Vtvessel,  Eikon_Point_Carbon,138890,138890, 2015-09-02T14:21:57.341Z,200073
config:component:aggregator:eikon_point_carbon.weatherrepository,  eikon, WeatherRepository,  Eikon_Point_Carbon, , , 2014-12-04T15:12:54.013Z,200073
config:component:aggregator:eikon_point_carbon.web,  eikon, Web,  Eikon_Point_Carbon, , , 2014-12-04T15:12:54.435Z,200073
config:component:aggregator:strategic_analytics.charttemplsvc,  eikon, ChartTemplSvc,  Strategic_Analytics, , , 2014-12-04T15:13:28.059Z,202635
config:component:aggregator:strategic_analytics.taservice,  eikon, TAService,  Strategic_Analytics, , , 2014-12-04T15:13:28.487Z,202638
config:component:aggregator:eikon_library_applications.alerts_._eikon_4.1,  eikon, Alerts | Eikon 4.1,  Eikon_Library_Applications, , , 2014-12-04T15:12:23.481Z,202641
config:component:aggregator:eikon_library_applications.quickcharts_3d_volatility_surface_._eikon_4.0,  eikon, Quickcharts 3D Volatility Surface | Eikon 4.0,  Eikon_Library_Applications, , , 2014-12-04T15:12:26.624Z,202641
config:component:aggregator:eikon_desktop.datastream_add-on,  eikon, Datastream Add-On,  Eikon_Desktop, , , 2014-12-04T15:12:14.853Z,202644
config:component:aggregator:time_series.dmmt_application,  eikon, DMMT Application,  Time_Series, , , 2014-12-04T15:13:32.020Z,202085
config:component:aggregator:eikon_views_explorer.eikon_navigation_service,  eikon, Eikon Navigation Service,  Eikon_Views_Explorer, , , 2014-12-04T15:13:01.252Z,202108
config:component:aggregator:metadata_tool.separatedmetadata,  eikon, SeparatedMetadata,  Metadata_Tool, , , 2014-12-04T15:13:17.411Z,202108
config:component:aggregator:content.street_events,  eikon, Street Events,  Content, , , 2014-12-04T15:11:46.263Z,202566
config:component:aggregator:collaboration.nitro_users,  eikon, nitro_users,  Collaboration,138890,138890, 2016-10-20T18:51:04.191Z,202607
config:component:aggregator:eikon_point_carbon.apex201,  eikon, Apex201,  Eikon_Point_Carbon, , , 2014-12-04T15:12:31.595Z,200073
config:component:aggregator:eikon_point_carbon.charting_data,  eikon, Charting_Data,  Eikon_Point_Carbon, , , 2014-12-04T15:12:32.371Z,200073
config:component:aggregator:eikon_point_carbon.downloadmanager,  eikon, Downloadmanager,  Eikon_Point_Carbon, , , 2014-12-04T15:12:35.789Z,200073
config:component:aggregator:eikon_point_carbon.dw,  eikon, DW,  Eikon_Point_Carbon,138890,138890, 2015-10-26T11:53:34.593Z,200073
config:component:aggregator:eikon_point_carbon.esb-app-filemonitor,  eikon, ESB-App-Filemonitor,  Eikon_Point_Carbon,138890,138890, 2015-10-26T11:50:03.974Z,200073
config:component:aggregator:eikon_point_carbon.esb-app-hurricanes,  eikon, ESB-App-Hurricanes,  Eikon_Point_Carbon, , , 2014-12-04T15:12:38.735Z,200073
config:component:aggregator:eikon_point_carbon.esb-app-jvmstats,  eikon, ESB-App-JVMStats,  Eikon_Point_Carbon,138890,138890, 2015-10-07T14:24:32.021Z,200073
config:component:aggregator:eikon_point_carbon.esb-app-lastupdate-ftp,  eikon, ESB-App-Lastupdate-FTP,  Eikon_Point_Carbon, , , 2014-12-04T15:12:39.543Z,200073
config:component:aggregator:eikon_point_carbon.esb-app-putumm,  eikon, ESB-App-Putumm,  Eikon_Point_Carbon, , , 2014-12-04T15:12:39.916Z,200073
config:component:aggregator:eikon_point_carbon.esb-app-textpublishconsumer,  eikon, ESB-App-Textpublishconsumer,  Eikon_Point_Carbon,138890,138890, 2015-10-07T14:07:41.543Z,200073
config:component:aggregator:eikon_point_carbon.facility,  eikon, Facility,  Eikon_Point_Carbon,138890,138890, 2015-10-07T14:08:10.784Z,200073
config:component:aggregator:eikon_point_carbon.facility_attributes,  eikon, Facility Attributes,  Eikon_Point_Carbon, ,6025541, 2015-04-30T10:31:32.516Z,200073
config:component:aggregator:eikon_point_carbon.filemover,  eikon, Filemover,  Eikon_Point_Carbon,138890,138890, 2015-09-02T14:22:47.469Z,200073
config:component:aggregator:eikon_desktop.insertlink_add-on,  eikon, InsertLink Add-On,  Eikon_Desktop, , , 2014-12-04T15:12:16.369Z,202644
config:component:aggregator:eikon_analytics_calc_bl.calc-bl,  eikon, CALC-BL,  Eikon_Analytics_CALC_BL, , , 2014-12-04T15:12:00.264Z,202645
config:component:aggregator:eikon_aaa.usage_reporting,  eikon, Usage Reporting,  Eikon_AAA, , , 2014-12-04T15:11:58.725Z,202669
config:component:aggregator:eikon_analytics_platform.sentiment,  eikon, Sentiment,  Eikon_Analytics_Platform, , , 2014-12-04T15:12:07.999Z,202676
config:component:aggregator:transactions_delivery_admin.trfxt,  eikon, TRFXT,  Transactions_Delivery_Admin, , , 2014-12-04T15:13:49.128Z,202773
config:component:aggregator:eu_commitment.rms_core,  elektron, RMS_Core,  EU_Commitment,138890,138890, 2015-04-01T08:32:34.946Z,202962
config:component:aggregator:eikon_analytics_platform.elasticsearch,  eikon, Elasticsearch,  Eikon_Analytics_Platform, , , 2014-12-04T15:12:03.246Z,203822
config:component:aggregator:inter-dealer_broker_fh.hillfarber_core,  elektron, hillfarber_core,  Inter-Dealer_Broker_FH,138890,138890, 2015-05-19T20:45:19.087Z,203853
config:component:aggregator:inter-dealer_broker_fh.icap_core,  elektron, icap_core,  Inter-Dealer_Broker_FH,138890,138890, 2015-05-19T20:45:23.425Z,203853
config:component:aggregator:hmds.hmds_base,  elektron, HMDS base,  HMDS,138890,138890, 2015-02-19T11:32:12.398Z,203853
config:component:aggregator:hmds.fh_licenses_hmds,  elektron, fh_licenses_hmds,  HMDS,138890,138890, 2015-05-17T16:58:56.252Z,203853
config:component:aggregator:hmds.fh_config_hmds,  elektron, fh_config_hmds,  HMDS,138890,138890, 2015-05-28T14:56:39.558Z,203853
config:component:aggregator:hmds.trep_base_hmds,  elektron, trep_base_hmds,  HMDS,138890,138890, 2015-06-15T05:51:06.214Z,203853
config:component:aggregator:hmds.ats_models_hmds,  elektron, ats_models_hmds,  HMDS,138890,138890, 2015-06-15T05:54:25.388Z,203853
config:component:aggregator:hmds.openmon_core,  elektron, openmon_core,  HMDS,138890,138890, 2015-06-18T16:24:32.401Z,203853
config:component:aggregator:eikon_analytics_platform.iva_assembler,  eikon, IVA_Assembler,  Eikon_Analytics_Platform,138890,138890, 2016-06-07T17:04:11.271Z,203802
config:component:aggregator:eikon_analytics_platform.iva_engine,  eikon, IVA_Engine,  Eikon_Analytics_Platform,138890,138890, 2016-06-07T17:06:19.122Z,203802
config:component:aggregator:eikon_analytics_platform.streams_signalapp,  eikon, Streams SignalApp,  Eikon_Analytics_Platform, , , 2014-12-04T15:12:10.508Z,203802
config:component:aggregator:eikon_analytics_platform.volsurf,  eikon, VolSurf,  Eikon_Analytics_Platform, , , 2014-12-04T15:12:12.055Z,203802
config:component:aggregator:eikon_mobility.emweb,  eikon, EMWEB,  Eikon_Mobility, , , 2014-12-04T15:12:28.983Z,202939
config:component:aggregator:eikon_mobility.msfsql,  eikon, MSFSQL,  Eikon_Mobility, , , 2014-12-04T15:12:29.349Z,202939
config:component:aggregator:ops_specific_task.ssl_cert,  eikon, SSL CERT,  Ops_Specific_Task, , , 2014-12-04T15:13:22.072Z, 
config:component:aggregator:compass_tools.release_dashboard,  eikon, Release Dashboard,  Compass Tools,138890,138890, 2016-10-31T11:34:46.686Z,203221
config:component:aggregator:compass_deployment_automation.cda_core,  eikon, cda_core,  Compass Deployment Automation,138890,138890, 2016-10-31T11:55:25.674Z,202929
config:component:aggregator:compass_deployment_automation.cda_hosts,  eikon, cda_hosts,  Compass Deployment Automation,138890,138890, 2016-10-31T11:56:02.357Z,202929
config:component:aggregator:binary_artifact_management_system.artifactory,  other, Artifactory,  Binary Artifact Management System,138890,138890, 2016-10-31T14:45:03.837Z,203973
config:component:aggregator:beps_action_manager.bam_eventprocessor,  trta_onesource, BAM_EventProcessor,  BEPS_Action_Manager,138890,138890, 2016-10-31T15:44:09.873Z,204188
config:component:aggregator:compass_tools.fullpicture_monitoring,  eikon, FullPicture_Monitoring,  Compass Tools,138890,138890, 2016-10-31T15:11:50.209Z,203843
config:component:aggregator:compass_tools.tao_discovery_tool,  eikon, TAO Discovery Tool,  Compass Tools,138890,138890, 2016-10-31T15:05:01.779Z,203869
config:component:aggregator:compass_tools.test_automation,  eikon, Test Automation,  Compass Tools,138890,138890, 2016-10-31T15:00:28.398Z,203755
config:component:aggregator:compass_tools.homepage,  eikon, Homepage,  Compass Tools,138890,138890, 2016-10-31T15:10:33.446Z,204009
config:component:aggregator:compass_tools.tao,  eikon, TAO,  Compass Tools,138890,138890, 2016-10-31T15:05:14.319Z,203869
config:component:aggregator:eikon_library_applications.eikon_library_admin_console_._eikon_4.0,  eikon, Eikon Library Admin Console | Eikon 4.0,  Eikon_Library_Applications, , , 2014-12-04T15:12:24.350Z,202641
config:component:aggregator:gateways.dds_to_tdn,  elektron, DDS to TDN,  Gateways,138890,138890, 2014-12-08T11:20:33.820Z,202014
config:component:aggregator:gateways.itdg_l2_omm_rule,  elektron, ITDG L2 OMM Rule,  Gateways,138890,138890, 2015-04-27T06:42:26.905Z,202014
config:component:aggregator:gateways.itdg,  elektron, ITDG,  Gateways,138890,138890, 2015-04-27T06:23:22.695Z,202014
config:component:aggregator:eikon_analytics_platform.zookeeper,  eikon, zookeeper,  Eikon_Analytics_Platform,138890,138890, 2016-07-26T07:30:20.844Z,202676
config:component:aggregator:eikon_search.suggest,  eikon, Suggest,  Eikon_Search,127438,127438, 2016-03-14T13:48:23.267Z,202772
config:component:aggregator:eikon_quantitative_analytics.snapshot_server,  eikon, Snapshot Server,  Eikon_Quantitative_Analytics, , , 2014-12-04T15:12:57.114Z,202920
config:component:aggregator:eikon_pageexpress.pageexpress,  eikon, PageExpress,  Eikon_PageExpress, , , 2014-12-04T15:12:30.903Z,202980
